keys,en,it,zh,ja
@menu_singleplayer@,Singleplayer,Giocatore singolo,单人模式,单人模式
@menu_multiplayer@,Multiplayer,Multigiocatore,多人模式,多人模式
@menu_map_editor@,Map editor,Creatore di mappe,地图编辑器,地图编辑器
@menu_settings@,Settings,Impostazioni,设置,设置
@menu_exit@,Exit,Esci,退出,退出
@menu_confirm@,Confirm,Conferma,确认,确认
@menu_cancel@,Cancel,Cancella,取消,取消
@menu_language@,Language,Linguaggio,语言,语言
@menu_framelock@,FPS,FPS,帧率,帧率
@menu_music_volume@,Music volume,Volume musica,音乐音量,音乐音量
@menu_sound_volume@,Sound volume,Volume effetti,声效音量,声效音量
@menu_controls@,Controls,Controlli,键位,键位
@menu_edit@,Edit,Modifica,修改,修改
@menu_back@,Back,Indietro,返回,返回
@menu_player_1@,Player 1,Giocatore 1,玩家 1,玩家 2
@menu_player_2@,Player 2,Giocatore 2,玩家 2,玩家 3
@menu_insert_name@,Insert name,Inserisci nome,输入名称,输入名称
@menu_unnamed@,Unnamed,Anonimo,无名,无名
@menu_player_name@,Player name,Nome giocatore,玩家名称,玩家名称
@menu_player_id@,Player ID,ID giocatore,玩家 ID,玩家 ID
@menu_host@,Host game,Crea camera,创建房间,创建房间
@menu_LAN_IP@,Local IP,IP locale,本地 IP,本地 IP
@menu_public_IP@,Public IP,IP publico,公网 IP,公网 IP
@menu_join_IP@,IP to join,IP da collegarsi,房主 IP,房主 IP
@menu_insert_IP@,Insert IP,Inserisci IP,请输入 IP,请输入 IP
@menu_join@,Join,Entra,加入,加入
@menu_disconnect@,Disconnect,Disconnetti,退出,退出
@menu_start@,Start,Inizia,开始,开始
@menu_ready@,Ready,Pronto,准备,准备
@level_tutorial@,Tutorial,Tutorial,教程,教程
@level_platforms@,Platforms,Piattaforme,平台,平台
@control_move_up@,Up,Su,上,上
@control_move_left@,Left,Sinistra,左,左
@control_move_down@,Down,Giù,下,下
@control_move_right@,Right,Destra,右,右
@control_jump@,Jump,Salto,跳跃,跳跃
@control_press_key@,Waiting for key,Premi un tasto,选择按键,选择按键
